период;курс_доллара_уровень;курс_доллара_изменение_pct;курс_евро_уровень;курс_евро_изменение_pct;курс_юаня_уровень;курс_юаня_изменение_pct;ключевая_ставка_уровень;ключевая_ставка_изменение_pct;индекс_потребительских_цен_уровень;индекс_потребительских_цен_изменение_pct
2021-W41 (нед. с 2021-10-11);;;;;;;;;124.6364;0.0000
2021-W42 (нед. с 2021-10-18);;;;;;;;;124.6364;0.0000
2021-W43 (нед. с 2021-10-25);;;;;;;;;124.6364;0.0000
2021-W44 (нед. с 2021-11-01);;;;;;;;;125.8329;0.9600
2021-W45 (нед. с 2021-11-08);;;;;;;;;125.8329;0.0000
2021-W46 (нед. с 2021-11-15);;;;;;;;;125.8329;0.0000
2021-W47 (нед. с 2021-11-22);;;;;;;;;125.8329;0.0000
2021-W48 (нед. с 2021-11-29);;;;;;;;;125.8329;0.0000
2021-W49 (нед. с 2021-12-06);;;;;;;;;126.8648;0.8200
2021-W50 (нед. с 2021-12-13);;;;;;;;;126.8648;0.0000
2021-W51 (нед. с 2021-12-20);;;;;;;;;126.8648;0.0000
2021-W52 (нед. с 2021-12-27);;;;;;;;;126.8648;0.0000
2022-W01 (нед. с 2022-01-03);;;;;;;;;128.1207;0.9900
2022-W02 (нед. с 2022-01-10);;;;;;;;;128.1207;0.0000
2022-W03 (нед. с 2022-01-17);;;;;;;;;128.1207;0.0000
2022-W04 (нед. с 2022-01-24);;;;;;;;;128.1207;0.0000
2022-W05 (нед. с 2022-01-31);;;;;;;;;128.1207;0.0000
2022-W06 (нед. с 2022-02-07);;;;;;;;;129.6197;1.1700
2022-W07 (нед. с 2022-02-14);;;;;;;;;129.6197;0.0000
2022-W08 (нед. с 2022-02-21);;;;;;;;;129.6197;0.0000
2022-W09 (нед. с 2022-02-28);;;;;;;;;129.6197;0.0000
2022-W10 (нед. с 2022-03-07);;;;;;;;;139.4838;7.6100
2022-W11 (нед. с 2022-03-14);;;;;;;;;139.4838;0.0000
2022-W12 (нед. с 2022-03-21);;;;;;;;;139.4838;0.0000
2022-W13 (нед. с 2022-03-28);;;;;;;;;139.4838;0.0000
2022-W14 (нед. с 2022-04-04);;;;;;;;;141.6597;1.5600
2022-W15 (нед. с 2022-04-11);;;;;;;;;141.6597;0.0000
2022-W16 (нед. с 2022-04-18);;;;;;;;;141.6597;0.0000
2022-W17 (нед. с 2022-04-25);;;;;;;;;141.6597;0.0000
2022-W18 (нед. с 2022-05-02);;;;;;;;;141.8297;0.1200
2022-W19 (нед. с 2022-05-09);;;;;;;;;141.8297;0.0000
2022-W20 (нед. с 2022-05-16);;;;;;;;;141.8297;0.0000
2022-W21 (нед. с 2022-05-23);;;;;;;;;141.8297;0.0000
2022-W22 (нед. с 2022-05-30);;;;;;;;;141.8297;0.0000
2022-W23 (нед. с 2022-06-06);;;;;;;;;141.3333;-0.3500
2022-W24 (нед. с 2022-06-13);;;;;;;;;141.3333;0.0000
2022-W25 (нед. с 2022-06-20);;;;;;;;;141.3333;0.0000
2022-W26 (нед. с 2022-06-27);;;;;;;;;141.3333;0.0000
2022-W27 (нед. с 2022-07-04);;;;;;;;;140.7821;-0.3900
2022-W28 (нед. с 2022-07-11);;;;;;;;;140.7821;0.0000
2022-W29 (нед. с 2022-07-18);;;;;;;;;140.7821;0.0000
2022-W30 (нед. с 2022-07-25);;;;;;;;;140.7821;0.0000
2022-W31 (нед. с 2022-08-01);;;;;;;;;140.0501;-0.5200
2022-W32 (нед. с 2022-08-08);;;;;;;;;140.0501;0.0000
2022-W33 (нед. с 2022-08-15);;;;;;;;;140.0501;0.0000
2022-W34 (нед. с 2022-08-22);;;;;;;;;140.0501;0.0000
2022-W35 (нед. с 2022-08-29);;;;;;;;;140.0501;0.0000
2022-W36 (нед. с 2022-09-05);;;;;;;;;140.1201;0.0500
2022-W37 (нед. с 2022-09-12);;;;;;;;;140.1201;0.0000
2022-W38 (нед. с 2022-09-19);;;;;;;;;140.1201;0.0000
2022-W39 (нед. с 2022-09-26);;;;;;;;;140.1201;0.0000
2022-W40 (нед. с 2022-10-03);;;;;;;;;140.3723;0.1800
2022-W41 (нед. с 2022-10-10);;;;;;;;;140.3723;0.0000
2022-W42 (нед. с 2022-10-17);;;;;;;;;140.3723;0.0000
2022-W43 (нед. с 2022-10-24);;;;;;;;;140.3723;0.0000
2022-W44 (нед. с 2022-10-31);;;;;;;;;140.3723;0.0000
2022-W45 (нед. с 2022-11-07);;;;;;;;;140.8917;0.3700
2022-W46 (нед. с 2022-11-14);;;;;;;;;140.8917;0.0000
2022-W47 (нед. с 2022-11-21);;;;;;;;;140.8917;0.0000
2022-W48 (нед. с 2022-11-28);;;;;;;;;140.8917;0.0000
2022-W49 (нед. с 2022-12-05);;;;;;;;;141.9906;0.7800
2022-W50 (нед. с 2022-12-12);;;;;;;;;141.9906;0.0000
2022-W51 (нед. с 2022-12-19);;;;;;;;;141.9906;0.0000
2022-W52 (нед. с 2022-12-26);;;;;;;;;141.9906;0.0000
2023-W01 (нед. с 2023-01-02);;;;;;;;;143.1834;0.8400
2023-W02 (нед. с 2023-01-09);;;;;;;;;143.1834;0.0000
2023-W03 (нед. с 2023-01-16);;;;;;;;;143.1834;0.0000
2023-W04 (нед. с 2023-01-23);;;;;;;;;143.1834;0.0000
2023-W05 (нед. с 2023-01-30);;;;;;;;;143.1834;0.0000
2023-W06 (нед. с 2023-02-06);;;;;;;;;143.8420;0.4600
2023-W07 (нед. с 2023-02-13);;;;;;;;;143.8420;0.0000
2023-W08 (нед. с 2023-02-20);;;;;;;;;143.8420;0.0000
2023-W09 (нед. с 2023-02-27);;;;;;;;;143.8420;0.0000
2023-W10 (нед. с 2023-03-06);;;;;;;;;144.3742;0.3700
2023-W11 (нед. с 2023-03-13);;;;;;;;;144.3742;0.0000
2023-W12 (нед. с 2023-03-20);;;;;;;;;144.3742;0.0000
2023-W13 (нед. с 2023-03-27);;;;;;;;;144.3742;0.0000
2023-W14 (нед. с 2023-04-03);;;;;;;;;144.9228;0.3800
2023-W15 (нед. с 2023-04-10);;;;;;;;;144.9228;0.0000
2023-W16 (нед. с 2023-04-17);;;;;;;;;144.9228;0.0000
2023-W17 (нед. с 2023-04-24);;;;;;;;;144.9228;0.0000
2023-W18 (нед. с 2023-05-01);;;;;;;;;145.3721;0.3100
2023-W19 (нед. с 2023-05-08);;;;;;;;;145.3721;0.0000
2023-W20 (нед. с 2023-05-15);;;;;;;;;145.3721;0.0000
2023-W21 (нед. с 2023-05-22);;;;;;;;;145.3721;0.0000
2023-W22 (нед. с 2023-05-29);;;;;;;;;145.3721;0.0000
2023-W23 (нед. с 2023-06-05);;;;;;;;;145.9100;0.3700
2023-W24 (нед. с 2023-06-12);;;;;;;;;145.9100;0.0000
2023-W25 (нед. с 2023-06-19);;;;;;;;;145.9100;0.0000
2023-W26 (нед. с 2023-06-26);;;;;;;;;145.9100;0.0000
2023-W27 (нед. с 2023-07-03);;;;;;;;;146.8292;0.6300
2023-W28 (нед. с 2023-07-10);;;;;;;;;146.8292;0.0000
2023-W29 (нед. с 2023-07-17);;;;;;;;;146.8292;0.0000
2023-W30 (нед. с 2023-07-24);;;;;;;;;146.8292;0.0000
2023-W31 (нед. с 2023-07-31);;;;;;;;;146.8292;0.0000
2023-W32 (нед. с 2023-08-07);;;;;;;;;147.2403;0.2800
2023-W33 (нед. с 2023-08-14);;;;;;;;;147.2403;0.0000
2023-W34 (нед. с 2023-08-21);;;;;;;;;147.2403;0.0000
2023-W35 (нед. с 2023-08-28);;;;;;;;;147.2403;0.0000
2023-W36 (нед. с 2023-09-04);;;;;;;;;148.5213;0.8700
2023-W37 (нед. с 2023-09-11);;;;;;;;;148.5213;0.0000
